#Format: JPTC-ISOGAIN/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T16:45:14.816Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Sony ILCE-7RM6
#ImageWidth: 9984
#ImageHeight: 6656
#ImagePixels: 66453504
#Firmware: 1.0.1
#Lens: 2470GM2
#ShutterType: 机械快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: companded
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 10240x7168
#SensorBlackTag: 512
#SensorMaximum: 16383
#Ladder: auto-shutter
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
# ShutterSec is the NOMINAL time from the file. A mechanical shutter
# departs from it systematically and unreadably, which is what the
# paired-shutter ladder exists to sidestep.
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
#
# g1/g2 = (t1/t2) * (Mean2 - BL2) / (Mean1 - BL1), with BL from the dark set.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,ShutterGroup,File,Channel,ColorIndex,N,Mean,Std,ClipFrac
50,0.800000011920929,4/5,,2.799999952316284,0.800000,DSC04635.ARW,C00,0,5752500,8926.596016514559,2129.397942958577,0
50,0.800000011920929,4/5,,2.799999952316284,0.800000,DSC04635.ARW,C01,1,5752500,12158.587430856149,3262.3450202811023,0.00010517166449369839
50,0.800000011920929,4/5,,2.799999952316284,0.800000,DSC04635.ARW,C10,3,5752500,12153.222827640157,3261.761488833907,0.00046310299869621905
50,0.800000011920929,4/5,,2.799999952316284,0.800000,DSC04635.ARW,C11,2,5752500,3246.466233289874,781.6449755375205,0
64,0.625,10/16,,2.799999952316284,0.625000,DSC04636.ARW,C00,0,5752500,8885.249513428944,2118.1010571364855,0
64,0.625,10/16,,2.799999952316284,0.625000,DSC04636.ARW,C01,1,5752500,12101.595601912211,3244.372098393088,0.000019817470664928293
64,0.625,10/16,,2.799999952316284,0.625000,DSC04636.ARW,C10,3,5752500,12096.771737157758,3243.89402018113,0.00013455019556714472
64,0.625,10/16,,2.799999952316284,0.625000,DSC04636.ARW,C11,2,5752500,3230.5918438939593,777.3223595962613,0
80,0.5,1/2,,2.799999952316284,0.500000,DSC04637.ARW,C00,0,5752500,8866.65359652325,2111.908398371837,0
80,0.5,1/2,,2.799999952316284,0.500000,DSC04637.ARW,C01,1,5752500,12069.388672924815,3232.7676600775735,0.000011820947414167753
80,0.5,1/2,,2.799999952316284,0.500000,DSC04637.ARW,C10,3,5752500,12064.812076314645,3232.2321635346493,0.000078748370273794
80,0.5,1/2,,2.799999952316284,0.500000,DSC04637.ARW,C11,2,5752500,3226.222476314646,776.1324501138715,0
