#Format: JPTC-DARK/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T05:12:13.963Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Canon EOS R5 Mark II
#ImageWidth: 8192
#ImageHeight: 5464
#ImagePixels: 44761088
#Firmware: 1.3.1
#Lens: RF35VCM
#ShutterType: 机械快门
#Compression: 佳能raw
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8480x5650
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Channel,ColorIndex,N,FileA,FileB,BlackA,BlackB,StdA,StdB,StdAMasked,StdDiff,StdDiffClipped,DiffMean,Rejected,WithinRowVarSingle,WithinColVarSingle,WithinRowVarDiff,WithinColVarDiff
50,0.004999999888241291,,,C00,0,5752500,166A1477.CR3,166A1478.CR3,512.1253929595828,512.1240300738809,1.5544277278527736,1.5536254198789259,1.531718907603128,2.1790768338161173,2.1265161687492125,0.0013628857018687527,17465,2.401471141478652,2.4088271875550182,4.719954850462964,4.745398218210589
50,0.004999999888241291,,,C01,1,5752500,166A1477.CR3,166A1478.CR3,512.1188516297262,512.1249409821817,1.3816745480918524,1.3828285076093658,1.3581620625627457,1.937747427705688,1.8859894028343238,-0.00608935245545415,19713,1.897267998850909,1.9030937826363081,3.732756801744268,3.7525805598012054
50,0.004999999888241291,,,C10,3,5752500,166A1477.CR3,166A1478.CR3,512.1341070838765,512.1263911342894,1.3991184853687137,1.3985022339227997,1.3734897712283094,1.9581692997501083,1.9018476937724555,0.007715949587136028,21722,1.9457777763831512,1.951836806115507,3.812344850507147,3.832193839289493
50,0.004999999888241291,,,C11,2,5752500,166A1477.CR3,166A1478.CR3,512.1177870491091,512.1273536723164,1.819586914402814,1.8194432889994328,1.7937354560745202,2.5479028887045723,2.488419761156358,-0.009566623207301173,18120,3.291963029191433,3.3015696761497186,6.456992958168517,6.488291064888166
100,0.004999999888241291,,,C00,0,5752500,166A1479.CR3,166A1480.CR3,512.1225675793133,512.131023902651,1.5540947129499414,1.553372673733525,1.532155371273663,2.177793435575129,2.1264102535420504,-0.00845632333767927,17042,2.399854761452275,2.4077910539676135,4.717142486258743,4.740001389719065
100,0.004999999888241291,,,C01,1,5752500,166A1479.CR3,166A1480.CR3,512.1177406345067,512.1219554976097,1.3820912563160406,1.3818627183283931,1.3581805086428045,1.9381344078127694,1.8854797726792603,-0.0042148631029986965,20138,1.8985182279185917,1.9042301553616605,3.7356599713315592,3.7541016572950356
100,0.004999999888241291,,,C10,3,5752500,166A1479.CR3,166A1480.CR3,512.1337607996524,512.1303278574533,1.3990980832290396,1.3980747130701805,1.3732997322264857,1.9582013779021366,1.902559379204954,0.003432942199043894,21424,1.9454351473419875,1.9517955139237104,3.8123626413276486,3.8323109435139604
100,0.004999999888241291,,,C11,2,5752500,166A1479.CR3,166A1480.CR3,512.1274077357671,512.1358398956975,1.819388721344243,1.819302388105002,1.7940605818658384,2.547009203910282,2.487496176316895,-0.008432159930465016,18194,3.2896995809927865,3.3007312196480822,6.449967420620357,6.483538764461374
125,0.004999999888241291,,,C00,0,5752500,166A1481.CR3,166A1482.CR3,512.102436505867,512.0982755323772,2.123655477568962,2.1240251246075488,2.104392313998762,2.9768812016701873,2.9306464803241314,0.004160973489787049,10994,4.484683931024832,4.496548769743355,8.81238388674046,8.856834337445232
125,0.004999999888241291,,,C01,1,5752500,166A1481.CR3,166A1482.CR3,512.1038395480226,512.0862482398957,1.8836589240021868,1.8860803546519478,1.8642260931021346,2.642401382611766,2.59818478747094,0.017591308126901347,11114,3.527057128647097,3.537548102029214,6.943263776427333,6.978342508831168
