#Format: JPTC-DARK/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-20T15:15:02.284Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Panasonic DC-S5M2
#ImageWidth: 6000
#ImageHeight: 4000
#ImagePixels: 24000000
#Firmware: 
#Lens: 1840mf
#ShutterType: 机械快门
#Compression: 12bit
#BitDepth: 12
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#IngestCorrection: Shooter confirms mechanical shutter 12-bit; the supplied archive name/header incorrectly said electronic shutter 14-bit. S5 II dimensions were corrected to 6000x4000/24000000. Measurement rows are unchanged.
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 6008x4008
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Channel,ColorIndex,N,FileA,FileB,BlackA,BlackB,StdA,StdB,StdAMasked,StdDiff,StdDiffClipped,DiffMean,Rejected,WithinRowVarSingle,WithinColVarSingle,WithinRowVarDiff,WithinColVarDiff
100,0.004999999888241291,10/2000,,C00,0,5752500,P2642563.RW2,P2642564.RW2,510.7896636245111,510.78654967405475,3.124701189721814,3.1275355818791724,3.103051146063221,4.399630986382909,4.345681912306729,0.0031139504563233375,8698,9.723865523346506,9.684534345513072,19.28250224076491,19.347085122053944
100,0.004999999888241291,10/2000,,C01,1,5752500,P2642563.RW2,P2642564.RW2,510.76959165580183,510.76720764884834,3.00593098455081,3.005444341305308,2.986475877568557,4.234915592964558,4.186500357321875,0.002384006953498479,8864,9.004892556250407,8.971739722706976,17.873227607628206,17.925644798359695
100,0.004999999888241291,10/2000,,C10,3,5752500,P2642563.RW2,P2642564.RW2,510.77257818339854,510.77394124293784,3.0091657122872237,3.0085812823833105,2.989324354861992,4.238030018657649,4.188260056972309,-0.0013630595393307257,9074,9.023710195154631,8.99278652608118,17.89970962573383,17.9520868565952
100,0.004999999888241291,10/2000,,C11,2,5752500,P2642563.RW2,P2642564.RW2,510.87508005215125,510.8695035202086,2.7857124777633255,2.7861036405016364,2.768047774162506,3.9231053939846396,3.878516879437905,0.005576531942633638,8715,7.72804833541791,7.701272019523274,15.329305635250698,15.382208344554758
125,0.004999999888241291,10/2000,,C00,0,5752500,P2642565.RW2,P2642566.RW2,510.86737800956104,510.86451855714904,3.32440408565662,3.3252619440520443,3.2908051316910107,4.681114876276965,4.5987680571242215,0.002859452411994785,12184,11.004498997900686,10.956873575502295,21.823868325193946,21.90147580650551
125,0.004999999888241291,10/2000,,C01,1,5752500,P2642565.RW2,P2642566.RW2,510.8412976966536,510.8397929595828,3.191894566874283,3.195768003642277,3.1634312547881964,4.496620841364492,4.4256507506517035,0.0015047370708387658,11767,10.14631286223381,10.110674286007209,20.140969260292195,20.209071984666625
125,0.004999999888241291,10/2000,,C10,3,5752500,P2642565.RW2,P2642566.RW2,510.84646345067364,510.8496676227727,3.1999545531556186,3.2004207610353004,3.171003524310266,4.5053247407012575,4.4330719719250045,-0.0032041720990873533,11920,10.19746103380256,10.16469325604254,20.21722903179902,20.287762899430568
125,0.004999999888241291,10/2000,,C11,2,5752500,P2642565.RW2,P2642566.RW2,510.9455514993481,510.940244589309,2.9520287332737722,2.950454592676356,2.9265473888128524,4.155223858204328,4.0916252917475635,0.005306910039113429,11136,8.677499044689473,8.647307898238232,17.19469621620669,17.25628725633227
160,0.004999999888241291,10/2000,,C00,0,5752500,P2642567.RW2,P2642568.RW2,510.818900478053,510.8224997827032,3.6579490084203705,3.6567983808604985,3.6074328410673306,5.095667518146537,4.969547561297408,-0.0035993046501521077,17681,13.307060126194191,13.039662052218098,25.83065165424026,25.95276456060355
160,0.004999999888241291,10/2000,,C01,1,5752500,P2642567.RW2,P2642568.RW2,510.69657314211213,510.68358852672753,3.515534013741634,3.5158962983497823,3.4737211543009017,4.901018105433228,4.794836653176647,0.012984615384615384,16473,12.301346607974429,12.052695141866984,23.90692863630403,24.00777943217552
