#Format: JPTC-DARK/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-12T08:30:31.939Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Panasonic DC-S5M2
#Firmware: 
#Lens: none-bodycap
#ShutterType: mech
#Compression: lossless
#BitDepth: 14
#LongExposureNR: off (declared)
#AmbientC: 
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 6008x4008
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
ISO,ShutterSec,Channel,ColorIndex,N,FileA,FileB,BlackA,BlackB,StdA,StdB,StdAMasked,StdDiff,StdDiffClipped,DiffMean,Rejected
100,0.004999999888241291,C00,0,5752500,P2642062.RW2,P2642063.RW2,511.6688900478053,511.6712717948718,1.3177564658539553,1.3166845447076179,1.2887344840797292,1.8568023251038277,1.7996981722415806,-0.002381747066492829,15370
100,0.004999999888241291,C01,1,5752500,P2642062.RW2,P2642063.RW2,511.5355772272925,511.5388777053455,1.3056320709951863,1.3045414563456166,1.2789232141436147,1.8339219331151064,1.7813117359250696,-0.003300478053020426,14255
100,0.004999999888241291,C10,3,5752500,P2642062.RW2,P2642063.RW2,511.5449495002173,511.54580686657977,1.3088182201918759,1.3096875312378864,1.2819814262398797,1.8391532523569014,1.7848768239801145,-0.0008573663624511082,14722
100,0.004999999888241291,C11,2,5752500,P2642062.RW2,P2642063.RW2,511.6807264667536,511.68148265971314,1.2122229872162245,1.211739504269928,1.1792543239434619,1.7069326456522018,1.639906448267188,-0.0007561929595827901,23205
125,0.004999999888241291,C00,0,5752500,P2642064.RW2,P2642065.RW2,511.6876126901347,511.6848768361582,1.5444060580470687,1.543170462479801,1.503064768155007,2.1749052609444837,2.095771324289552,0.0027358539765319424,17921
125,0.004999999888241291,C01,1,5752500,P2642064.RW2,P2642065.RW2,511.59464563233377,511.59282103433287,1.522592290646147,1.5229951305429954,1.4852638639506341,2.1382037822203213,2.0634948888947178,0.0018245980008691873,16581
125,0.004999999888241291,C10,3,5752500,P2642064.RW2,P2642065.RW2,511.6048735332464,511.60130169491526,1.528442933883683,1.5287941233554696,1.4888184363669557,2.1458107601491543,2.06814458852535,0.003571838331160365,17407
125,0.004999999888241291,C11,2,5752500,P2642064.RW2,P2642065.RW2,511.70140895262927,511.69780356366795,1.4171610767300309,1.4177134364274158,1.371189132467484,1.9946589789054254,1.906651759742903,0.0036053889613211648,24118
160,0.004999999888241291,C00,0,5752500,P2642066.RW2,P2642067.RW2,511.46051907866143,511.4575506301608,1.8231611278088953,1.8245343564744612,1.76345045684995,2.5700625220780213,2.4555929596209483,0.0029684485006518904,22308
160,0.004999999888241291,C01,1,5752500,P2642066.RW2,P2642067.RW2,511.3736695349848,511.37397722729247,1.8248910099835776,1.826234748306554,1.7700318039566478,2.5650319283321186,2.4584799411692804,-0.0003076923076923077,20989
